,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,break_summer.1,break_winter.1,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
56,1417,835,2252,17,1404,1068,97,239,17,0,819,2223,13,13,0,0,0,0,16,29,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2018-02-26,3.1,0.0,1.4,43.1,1.3,0.0,0.0,0.0,0.0,1,1,3,1
57,769,748,1517,11,763,537,89,137,11,0,746,1509,6,6,0,0,0,0,2,8,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2018-02-27,4.2,0.0,0.9,48.8,8.5,0.0,0.0,0.0,0.0,3,2,3,0
58,168,458,626,6,166,121,8,37,6,0,448,614,2,2,0,0,0,0,10,12,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2018-02-28,4.6,25.0,2.0,73.3,10.0,11.25,0.0,0.0,25.0,4,2,5,1
59,2320,970,3290,24,2275,1907,111,257,24,75,946,3221,45,41,1,3,0,0,24,69,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-01,-0.2,0.5,3.8,61.9,4.4,4.25,0.0,0.0,0.5,2,1,5,2
60,712,788,1500,25,680,626,6,48,23,0,777,1457,32,23,2,7,2,0,11,43,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-02,-0.7,0.0,1.5,34.0,2.4,0.0,0.0,0.0,0.0,1,1,2,1
61,10711,3829,14540,58,10206,8849,222,1135,58,30,3683,13889,505,458,2,45,0,0,146,651,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2018-03-03,7.9,0.0,1.5,38.1,4.1,1.17,0.0,0.0,0.0,2,2,2,1
62,2268,1351,3619,52,2207,1876,78,253,50,0,1314,3521,61,50,0,11,2,0,37,98,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2018-03-04,9.8,11.5,1.2,89.1,10.0,13.75,0.0,0.0,11.5,4,3,5,1
63,546,503,1049,2,522,514,2,6,2,0,497,1019,24,22,0,2,0,0,6,30,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018-03-05,5.5,3.5,2.0,67.5,5.4,9.92,0.0,0.0,3.5,2,2,5,1
64,739,1012,1751,27,701,685,5,11,23,0,965,1666,38,37,0,1,4,0,47,85,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2018-03-06,4.5,0.0,1.6,46.8,2.1,0.0,0.0,0.0,0.0,1,2,3,1
65,583,851,1434,20,571,552,4,15,20,0,830,1401,12,12,0,0,0,0,21,33,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-07,6.4,0.5,1.8,54.0,8.6,3.5,0.0,0.0,0.5,3,2,4,1
