,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
83,1063,1100,2163,29,930,837,31,62,18,0,821,1751,133,124,2,7,11,96,279,412,0,0,0,1,0,0,0,0,0,1,0,0,2017-06-19,24.8,0.0,1.8,50.9,5.6,0.0,0.0,0.0,0.0,2,6,3,1
84,939,1591,2530,59,792,694,18,80,57,192,986,1778,147,144,1,2,2,267,605,752,0,0,0,0,0,0,1,0,0,1,0,0,2017-06-20,26.0,0.0,2.1,43.4,6.6,1.83,0.0,0.0,0.0,3,6,3,1
85,918,1283,2201,54,808,700,36,72,54,61,893,1701,110,99,1,10,0,185,390,500,0,0,1,0,0,0,0,0,0,1,0,0,2017-06-21,25.4,0.0,2.9,52.6,3.0,0.75,0.0,0.0,0.0,2,6,4,1
86,11650,1285,12935,85,11507,764,10700,43,64,10755,924,12431,143,134,5,4,21,170,361,504,0,1,0,0,0,0,0,0,0,1,0,0,2017-06-22,25.3,0.0,2.5,57.3,3.9,0.0,0.0,0.0,0.0,2,6,4,1
87,906,1216,2122,71,839,770,16,53,63,153,948,1787,67,66,0,1,8,122,268,335,1,0,0,0,0,0,0,0,0,1,0,0,2017-06-23,26.7,0.0,2.0,53.0,4.1,0.0,0.0,0.0,0.0,2,6,4,1
88,4215,1987,6202,125,3885,3357,82,446,117,63,1787,5672,330,283,1,46,8,0,200,530,0,0,0,0,0,1,0,0,0,1,0,0,2017-06-24,24.5,3.5,1.2,60.4,9.5,9.17,1.0,2.5,3.5,4,6,5,1
89,4309,1854,6163,145,3795,3320,57,418,96,56,1585,5380,514,466,6,42,49,0,269,783,0,0,0,0,1,0,0,0,0,1,0,0,2017-06-25,23.8,1.5,1.5,75.4,7.1,3.42,0.5,0.9,1.5,3,6,5,1
90,609,663,1272,24,553,518,5,30,24,0,569,1122,56,54,1,1,0,0,94,150,0,0,0,1,0,0,0,0,0,1,0,0,2017-06-26,23.1,29.0,2.2,76.9,8.8,8.5,4.5,17.0,29.0,3,6,5,1
91,939,1304,2243,51,823,765,9,49,44,0,942,1765,116,113,1,2,7,187,362,478,0,0,0,0,0,0,1,0,0,1,0,0,2017-06-27,25.2,0.0,2.2,67.5,6.4,0.67,0.0,0.0,0.0,3,6,5,1
92,862,1251,2113,70,807,753,16,38,63,34,1028,1835,55,54,0,1,7,98,223,278,0,0,1,0,0,0,0,0,0,1,0,0,2017-06-28,26.0,0.0,2.1,63.5,6.1,0.0,0.0,0.0,0.0,3,6,5,1
93,904,1216,2120,61,850,794,13,43,59,81,886,1736,54,52,1,1,2,154,330,384,0,1,0,0,0,0,0,0,0,1,0,0,2017-06-29,26.2,0.0,2.2,64.8,3.8,0.0,0.0,0.0,0.0,2,6,5,1
94,1002,1101,2103,72,872,753,25,94,64,42,734,1606,130,87,1,42,8,274,367,497,1,0,0,0,0,0,0,0,0,1,0,0,2017-06-30,25.9,0.0,2.2,65.9,4.9,0.0,0.0,0.0,0.0,2,6,5,1
95,5728,2080,7808,113,5167,4597,74,496,98,60,1954,7121,561,515,11,35,15,0,126,687,0,0,0,0,0,1,0,0,0,1,0,1,2017-07-01,25.3,0.5,2.0,73.6,9.4,4.25,0.5,0.5,0.5,4,6,5,1
96,725,718,1443,63,684,612,12,60,62,0,666,1350,41,37,0,4,1,0,52,93,0,0,0,0,1,0,0,0,0,1,0,1,2017-07-02,24.3,92.0,2.5,90.5,10.0,21.33,16.0,43.0,92.0,4,6,5,1
97,313,494,807,15,288,264,4,20,15,0,448,736,25,25,0,0,0,0,46,71,0,0,0,1,0,0,0,0,0,1,0,1,2017-07-03,24.7,67.5,3.5,87.6,9.9,9.08,15.0,53.0,67.5,4,6,5,2
98,891,824,1715,74,869,537,27,305,69,362,776,1645,22,22,0,0,5,0,48,70,0,0,0,0,0,0,1,0,0,1,0,1,2017-07-04,26.7,0.5,2.0,74.5,6.5,4.0,0.5,0.5,0.5,3,6,5,1
99,600,749,1349,59,565,467,57,41,55,60,699,1264,35,28,5,2,4,0,50,85,0,0,1,0,0,0,0,0,0,1,0,1,2017-07-05,27.4,0.0,1.5,66.9,4.8,0.0,0.0,0.0,0.0,2,7,5,1
100,611,640,1251,58,601,415,167,19,54,141,579,1180,10,10,0,0,4,0,61,71,0,1,0,0,0,0,0,0,0,1,0,1,2017-07-06,27.6,34.0,1.7,72.3,7.1,1.95,11.0,25.0,34.0,3,7,5,1
